entity_id,entity_flags,network_id,network_entities,network_flags,flagged,flags/entity,flagged/unflagged
EduSmart Solutions,0,298,23,49,7,2.13,0.44
EduSmart Solutons,0,298,23,49,7,2.13,0.44
EduSmart Schoolz,0,298,23,49,7,2.13,0.44
EduSmart Academy,0,298,23,49,7,2.13,0.44
Harvest Pioneers,0,288,30,293,9,9.77,0.43
Skyline Constructions,0,286,10,86,3,8.6,0.43
SkyHigh Constructions,0,286,10,86,3,8.6,0.43
Skyline Builders,0,286,10,86,3,8.6,0.43
TerraFirma Construction,0,286,10,86,3,8.6,0.43
SkyHigh Construction,13,286,10,86,3,8.6,0.43
Skyline Ventures,12,288,30,293,9,9.77,0.43
Knowledge Pathways,0,288,30,293,9,9.77,0.43
BuildIt Solutions,0,288,30,293,9,9.77,0.43
Mason & Co Supplies,9,288,30,293,9,9.77,0.43
Farm Innovators,0,288,30,293,9,9.77,0.43
Urban Innovators,16,288,30,293,9,9.77,0.43
Skyline Design Group,33,288,30,293,9,9.77,0.43
Builders Choice,60,288,30,293,9,9.77,0.43
EduSmart Group,0,288,30,293,9,9.77,0.43
UrbanBuild Partners,56,288,30,293,9,9.77,0.43
Harvest Bounty Ltd,0,288,30,293,9,9.77,0.43
BuildLand Contractors,0,288,30,293,9,9.77,0.43
Skyline Construktors,0,286,10,86,3,8.6,0.43
Skyline Developments,10,286,10,86,3,8.6,0.43
BuildLand Innovators,0,288,30,293,9,9.77,0.43
Gourmet Goods Ltd,6,276,20,153,6,7.65,0.43
Constructive Solutions Group,0,276,20,153,6,7.65,0.43
EduNation Services,0,276,20,153,6,7.65,0.43
Globetrotter Agency,0,276,20,153,6,7.65,0.43
UrbanBuild Renovations,66,276,20,153,6,7.65,0.43
Constructo Partners,0,276,20,153,6,7.65,0.43
Rural Roots,0,276,20,153,6,7.65,0.43
ConstructCo,10,276,20,153,6,7.65,0.43
Constructive Solutions Inc,0,276,20,153,6,7.65,0.43
Constructive Solutions,9,276,20,153,6,7.65,0.43
ConstructIt,11,276,20,153,6,7.65,0.43
Buildland Contractors,51,276,20,153,6,7.65,0.43
AutoInnovate,0,174,10,227,3,22.7,0.43
Transit Solutions,0,174,10,227,3,22.7,0.43
AutoDriv Motors,0,174,10,227,3,22.7,0.43
AutoDrive Mechanics,0,174,10,227,3,22.7,0.43
Transit Solutions Inc,0,174,10,227,3,22.7,0.43
LifeCare Assoc,0,314,17,61,5,3.59,0.42
Farmville Organics,10,76,27,199,8,7.37,0.42
Agri Growth Ltd,0,76,27,199,8,7.37,0.42
AgriGrowth Farm Co,10,76,27,199,8,7.37,0.42
Agriculture Innovators,0,76,27,199,8,7.37,0.42
AgriGrowth Co,0,76,27,199,8,7.37,0.42
EduTech Network,0,314,17,61,5,3.59,0.42
Learning Tech Corp,0,314,17,61,5,3.59,0.42
LifeCare Associates,0,314,17,61,5,3.59,0.42
EduTech Solutions,25,314,17,61,5,3.59,0.42
Knowledge Systems,0,314,17,61,5,3.59,0.42
EduSecure,0,314,17,61,5,3.59,0.42
Agriculture Innovators Inc,0,76,27,199,8,7.37,0.42
AgriGroth Corp,0,76,27,199,8,7.37,0.42
Retail Giants Inc,0,173,17,67,5,3.94,0.42
AgriGrowth,48,76,27,199,8,7.37,0.42
Agri Advance,0,76,27,199,8,7.37,0.42
Harvest Solutions,0,76,27,199,8,7.37,0.42
GreenFarms,0,76,27,199,8,7.37,0.42
AgriGrowth Corp,0,76,27,199,8,7.37,0.42
AgriGrowth Inc,10,76,27,199,8,7.37,0.42
Fresh Foods Ltd,0,173,17,67,5,3.94,0.42
AgriAdvance,0,76,27,199,8,7.37,0.42
AgriFuture Corp,0,69,17,124,5,7.29,0.42
Sunny Acres,0,69,17,124,5,7.29,0.42
AgriGrowth Farmz,0,69,17,124,5,7.29,0.42
GreenLeaf Agro,10,69,17,124,5,7.29,0.42
AgriTech Farms,0,69,17,124,5,7.29,0.42
EduBuild Academy,0,314,17,61,5,3.59,0.42
AgroTech Farms,0,69,17,124,5,7.29,0.42
AgriGrow Farms,14,69,17,124,5,7.29,0.42
Fresh Foodz Inc,0,173,17,67,5,3.94,0.42
Healthy Harvest,6,173,17,67,5,3.94,0.42
Fresh Foods Inc,0,173,17,67,5,3.94,0.42
Fresh Foods Company,5,173,17,67,5,3.94,0.42
Healthy Eats Co,0,173,17,67,5,3.94,0.42
Creative Media Group,0,351,7,38,2,5.43,0.4
Media Masters,31,351,7,38,2,5.43,0.4
Creative Media Agency,0,351,7,38,2,5.43,0.4
Sunset Media,0,351,7,38,2,5.43,0.4
Transport Movers,0,351,7,38,2,5.43,0.4
Waterway Innovations,0,356,7,66,2,9.43,0.4
RedRock Mining,15,379,14,61,4,4.36,0.4
IronForge Manufacturing,0,379,14,61,4,4.36,0.4
Hydro Innovations,0,379,14,61,4,4.36,0.4
Red Mountain Mining,15,379,14,61,4,4.36,0.4
Red Rock Mining,25,379,14,61,4,4.36,0.4
Buildland Innovators,0,272,14,227,4,16.21,0.4
Skyland Jets,32,356,7,66,2,9.43,0.4
Green Power Innovations,0,228,14,83,4,5.93,0.4
BuildLand Architects,0,272,14,227,4,16.21,0.4
Skyland Jets Ltd,34,356,7,66,2,9.43,0.4
City Builders,0,272,14,227,4,16.21,0.4
UrbanBuild Solutions,71,272,14,227,4,16.21,0.4
TechEd Learning,0,272,14,227,4,16.21,0.4
PureStream Services,0,379,14,61,4,4.36,0.4
Blue Wave Shipping,0,379,14,61,4,4.36,0.4
SkyHigh Airlines,139,383,14,241,4,17.21,0.4
Sky High,0,383,14,241,4,17.21,0.4
FlyHigh Airways,0,383,14,241,4,17.21,0.4
TravelQuest Ltd,0,383,14,241,4,17.21,0.4
FlightPath Services,0,383,14,241,4,17.21,0.4
JetStream Logistics,0,383,14,241,4,17.21,0.4
PinkPetal Florists,0,379,14,61,4,4.36,0.4
BlueWave Solutions,0,379,14,61,4,4.36,0.4
PureStream Servicess,0,379,14,61,4,4.36,0.4
AquaLife Services,0,356,7,66,2,9.43,0.4
Mason & Co Construction,56,272,14,227,4,16.21,0.4
SnackTime,0,356,7,66,2,9.43,0.4
Mason Builders,39,272,14,227,4,16.21,0.4
TechSavvy Innovations,11,128,14,71,4,5.07,0.4
Sustainable Energy Inc,0,228,14,83,4,5.93,0.4
GreenPower Innovations,0,228,14,83,4,5.93,0.4
Green Energy Innovations,6,228,14,83,4,5.93,0.4
GreenPower,0,228,14,83,4,5.93,0.4
Artistic Visions,3,236,7,10,2,1.43,0.4
Artistic Cre8tions,0,236,7,10,2,1.43,0.4
TechSavvy Solutions,49,128,14,71,4,5.07,0.4
Tech Savvy,9,128,14,71,4,5.07,0.4
TechSavvy,0,128,14,71,4,5.07,0.4
Tech Savvy Inc,0,128,14,71,4,5.07,0.4
TechGurus,0,128,14,71,4,5.07,0.4
SavvyTech Innovations,0,128,14,71,4,5.07,0.4
TechSavvy Electronics,2,128,14,71,4,5.07,0.4
Gadget Innovations,0,128,14,71,4,5.07,0.4
TechSavvy Corp,0,128,14,71,4,5.07,0.4
Skyline Renovations,0,272,14,227,4,16.21,0.4
Innovative Artistry,0,236,7,10,2,1.43,0.4
Design Masters,0,236,7,10,2,1.43,0.4
Creative Designs,0,236,7,10,2,1.43,0.4
Creative Minds,0,236,7,10,2,1.43,0.4
HydroTech Enterprises,0,362,21,45,6,2.14,0.4
AquaPure Waters,0,362,21,45,6,2.14,0.4
WaterTech Innovatons,0,362,21,45,6,2.14,0.4
Blue Water Systems,0,362,21,45,6,2.14,0.4
ClearStream Services,0,362,21,45,6,2.14,0.4
AquaPure Waterz,0,362,21,45,6,2.14,0.4
PureFlow Enterprises,0,362,21,45,6,2.14,0.4
WaterTech Innovations,0,362,21,45,6,2.14,0.4
BlueWater Corp,0,362,21,45,6,2.14,0.4
Mason & Co Builders,61,272,14,227,4,16.21,0.4
Learning Center,0,300,18,23,5,1.28,0.38
Techno Builders,0,271,11,72,3,6.55,0.38
EduSmart Learning,13,300,18,23,5,1.28,0.38
TechnoBuild,33,271,11,72,3,6.55,0.38
EcoFriendly Constructions,0,258,40,292,11,7.3,0.38
Green Builders,0,258,40,292,11,7.3,0.38
EcoBuild,31,258,40,292,11,7.3,0.38
Eco Builders Group,0,258,40,292,11,7.3,0.38
Eco Construct,0,258,40,292,11,7.3,0.38
TechnoBuild Ltd,11,271,11,72,3,6.55,0.38
EcoBuild Group,0,258,40,292,11,7.3,0.38
Green Constructions,0,258,40,292,11,7.3,0.38
EcoBuild Constructions,0,258,40,292,11,7.3,0.38
EcoBuild Construction,25,258,40,292,11,7.3,0.38
EcoBuild Construktion,0,258,40,292,11,7.3,0.38
EcoBuild Constructors,3,258,40,292,11,7.3,0.38
EcoBuild Corp,6,258,40,292,11,7.3,0.38
Buildland Enterprises,1,258,40,292,11,7.3,0.38
Buildland Associates,0,258,40,292,11,7.3,0.38
CityBuild Inc,0,271,11,72,3,6.55,0.38
Edu Excellence,0,300,18,23,5,1.28,0.38
Learning Pathwayz,0,300,18,23,5,1.28,0.38
AgriFuture,0,77,11,66,3,6.0,0.38
CityBuild Devlopments,0,271,11,72,3,6.55,0.38
AgriCorp,0,77,11,66,3,6.0,0.38
Agri Future,5,77,11,66,3,6.0,0.38
Constructo Corp,0,77,11,66,3,6.0,0.38
AgriFuture Farms,0,77,11,66,3,6.0,0.38
Constructo Pioneers,0,77,11,66,3,6.0,0.38
AgriFutur Farms,0,77,11,66,3,6.0,0.38
LearnQuest,0,300,18,23,5,1.28,0.38
Green Building Group,0,258,40,292,11,7.3,0.38
EcoBuild Homes,0,258,40,292,11,7.3,0.38
CityBuild Developments,0,271,11,72,3,6.55,0.38
CityBuild Enterprises,0,271,11,72,3,6.55,0.38
CityBuild Developers,0,271,11,72,3,6.55,0.38
Healthy Foods Ltd,1,300,18,23,5,1.28,0.38
EcoBuilders,0,258,40,292,11,7.3,0.38
BuildEco,0,258,40,292,11,7.3,0.38
StreamTech Services,0,52,11,35,3,3.18,0.38
ClearStream Solutions,0,52,11,35,3,3.18,0.38
Byte Dynamics,0,393,18,206,5,11.44,0.38
Virtual Visions,0,393,18,206,5,11.44,0.38
Streamline Solutions,0,52,11,35,3,3.18,0.38
Silicon Innovators,0,393,18,206,5,11.44,0.38
HydroSolutions Ltd,0,52,11,35,3,3.18,0.38
Streamline Services,0,52,11,35,3,3.18,0.38
Waterway Enterprises Ltd,9,52,11,35,3,3.18,0.38
Waterway Enterprises,9,52,11,35,3,3.18,0.38
HydroSolutons Ltd,0,52,11,35,3,3.18,0.38
RiverTech Enterprises,0,52,11,35,3,3.18,0.38
ClearWater Solutions,0,52,11,35,3,3.18,0.38
Tech Innovators Inc,53,393,18,206,5,11.44,0.38
Future Education Solutions,0,312,19,47,5,2.47,0.36
EduTech Academy,0,312,19,47,5,2.47,0.36
LearningTech Corp,0,312,19,47,5,2.47,0.36
SmartEdu Services,0,289,15,51,4,3.4,0.36
BrightLearn,0,289,15,51,4,3.4,0.36
EduTech Innovations,7,312,19,47,5,2.47,0.36
Smart Learning Solutions,0,289,15,51,4,3.4,0.36
EduWorld Enterprises,0,312,19,47,5,2.47,0.36
KnowledgeHub,0,289,15,51,4,3.4,0.36
SmartEdu Servicess,0,289,15,51,4,3.4,0.36
Digital Dynmics,0,289,15,51,4,3.4,0.36
SmartEdu Solutions,2,289,15,51,4,3.4,0.36
SmartEdu,0,289,15,51,4,3.4,0.36
HydroFlow Co,0,375,8,20,2,2.5,0.33
Green Health Services,0,6,24,192,6,8.0,0.33
FashionFoward Designz,0,242,16,184,4,11.5,0.33
FashionFutures,0,242,16,184,4,11.5,0.33
Construct Pioneers,0,266,8,23,2,2.88,0.33
Construction Pro,0,266,8,23,2,2.88,0.33
Construct Co,0,266,8,23,2,2.88,0.33
MediCare Health,0,6,24,192,6,8.0,0.33
MediCare Health Inc,0,6,24,192,6,8.0,0.33
MediWell Health,0,6,24,192,6,8.0,0.33
MediCare Health Services,0,6,24,192,6,8.0,0.33
WellCare Solutions,0,6,24,192,6,8.0,0.33
EcoLiving Products,0,260,24,111,6,4.62,0.33
MediCare Health Group,0,6,24,192,6,8.0,0.33
MediTech,0,6,24,192,6,8.0,0.33
Harvest Innovations Ltd,0,81,4,11,1,2.75,0.33
Harvest Time Inc,0,81,4,11,1,2.75,0.33
HarvestTime Ltd,0,81,4,11,1,2.75,0.33
Build Innovators,0,266,8,23,2,2.88,0.33
HealthFirst Clinic,29,6,24,192,6,8.0,0.33
EcoLiving Concepts,0,260,24,111,6,4.62,0.33
EcoLiving Corp,0,260,24,111,6,4.62,0.33
Construction Pros,13,266,8,23,2,2.88,0.33
Sportify Inc,0,260,24,111,6,4.62,0.33
EcoHome,0,260,24,111,6,4.62,0.33
Sportify,5,260,24,111,6,4.62,0.33
TravelWonders,4,332,8,12,2,1.5,0.33
HydroWave,0,375,8,20,2,2.5,0.33
FashionElite,0,242,16,184,4,11.5,0.33
Fashion Forward Ltd,0,242,16,184,4,11.5,0.33
Broadcast Wonders,0,235,16,52,4,3.25,0.33
Artistry Creations,0,235,16,52,4,3.25,0.33
TechSavvy Gadgets,0,235,16,52,4,3.25,0.33
Creative Arts Studio,0,235,16,52,4,3.25,0.33
ArtisticExpressions,0,235,16,52,4,3.25,0.33
Creative Arts,2,235,16,52,4,3.25,0.33
Artistic Expressions,2,235,16,52,4,3.25,0.33
Artistry,0,235,16,52,4,3.25,0.33
Digital Dreams Studio,0,235,16,52,4,3.25,0.33
HydroTech Ltd,0,235,16,52,4,3.25,0.33
Artistic Creations,7,235,16,52,4,3.25,0.33
UrbanBuild Partnerz,0,401,4,56,1,14.0,0.33
Buildtown Architects,0,401,4,56,1,14.0,0.33
Constructo Design,0,401,4,56,1,14.0,0.33
WaterWurks Co,0,404,4,13,1,3.25,0.33
WaterWorks Inc,0,404,4,13,1,3.25,0.33
Voyage Experts,0,332,8,12,2,1.5,0.33
JourneyQuest Agency,0,332,8,12,2,1.5,0.33
TravelWonders Agency,0,332,8,12,2,1.5,0.33
Art Innovators,0,235,16,52,4,3.25,0.33
Construction Creations,0,266,8,23,2,2.88,0.33
GreenThumb Landscaping,0,88,8,4,2,0.5,0.33
GreenThumb Gardens,0,87,12,24,3,2.0,0.33
FashionForward Designs,0,242,16,184,4,11.5,0.33
Fashion Foward,0,242,16,184,4,11.5,0.33
FashionFoward,0,242,16,184,4,11.5,0.33
WaterWorks Co,13,404,4,13,1,3.25,0.33
WaterWorks,0,404,4,13,1,3.25,0.33
Construct Experts,0,266,8,23,2,2.88,0.33
Floras Farm,0,87,12,24,3,2.0,0.33
GreenThumb Gardenz,0,87,12,24,3,2.0,0.33
Green Gardens,0,87,12,24,3,2.0,0.33
HarvestFields,0,88,8,4,2,0.5,0.33
Blooming Fields,0,87,12,24,3,2.0,0.33
GreenThumb,0,87,12,24,3,2.0,0.33
GreenLeaf Gardens,5,87,12,24,3,2.0,0.33
Verdant Ventures,0,87,12,24,3,2.0,0.33
Green Thumb Gardens,3,87,12,24,3,2.0,0.33
Green Thumb Landscaping,0,88,8,4,2,0.5,0.33
GreenEarth Landscaping,0,88,8,4,2,0.5,0.33
GreenWorld Landscaping,0,88,8,4,2,0.5,0.33
Energy Savers,0,242,16,184,4,11.5,0.33
TravelQuest,0,332,8,12,2,1.5,0.33
BuildMasters,15,260,24,111,6,4.62,0.33
Blue Sky Shipping,0,370,8,40,2,5.0,0.33
OceanBlue Shipping,0,370,8,40,2,5.0,0.33
EcoLivng Homes,0,260,24,111,6,4.62,0.33
Build Masters,0,260,24,111,6,4.62,0.33
Eco Livng,0,260,24,111,6,4.62,0.33
BuildMaster,9,260,24,111,6,4.62,0.33
HydroFlow Solutions,10,375,8,20,2,2.5,0.33
EcoLiving Homes Inc,0,260,24,111,6,4.62,0.33
Eco Living,0,260,24,111,6,4.62,0.33
HydroFlow Services,0,375,8,20,2,2.5,0.33
HydroFlow Systems,10,375,8,20,2,2.5,0.33
Blue Horizon Shipping,0,370,8,40,2,5.0,0.33
Hydroflow Solutions,0,375,8,20,2,2.5,0.33
Oceanic Shipping,0,370,8,40,2,5.0,0.33
Oceanic Shipping Ltd,0,370,8,40,2,5.0,0.33
AquaTech Innovations,23,376,12,43,3,3.58,0.33
AquaTech Innovations Ltd,13,376,12,43,3,3.58,0.33
Blue Ocean Shipping,0,370,8,40,2,5.0,0.33
EcoLiving Homes,15,260,24,111,6,4.62,0.33
Oceanic Shipping Co,30,370,8,40,2,5.0,0.33
Aqua Tech Solutions,0,376,12,43,3,3.58,0.33
AquaTech Systems,0,376,12,43,3,3.58,0.33
Aqua Solutions,0,376,12,43,3,3.58,0.33
AquaTech Industries,7,376,12,43,3,3.58,0.33
AquaTech Solutions,0,376,12,43,3,3.58,0.33
AquaTech,0,376,12,43,3,3.58,0.33
TechSavvy Enterprises,0,130,25,90,6,3.6,0.32
Health First Medical,0,110,25,240,6,9.6,0.32
SilverStream Media,0,110,25,240,6,9.6,0.32
HealthFirst,16,110,25,240,6,9.6,0.32
MediCare Associates,0,110,25,240,6,9.6,0.32
Health1st,0,110,25,240,6,9.6,0.32
GreenEnergy Ltd,0,196,25,123,6,4.92,0.32
TechVille Solutions,0,130,25,90,6,3.6,0.32
First Aid Co,0,110,25,240,6,9.6,0.32
TechLand Innovations,0,130,25,90,6,3.6,0.32
TechLand Solutions,0,130,25,90,6,3.6,0.32
Aqua Pure Systems,0,363,25,44,6,1.76,0.32
Aqua Pure Water,0,363,25,44,6,1.76,0.32
AquaPure Industries,0,363,25,44,6,1.76,0.32
PurplePeak Finance,0,363,25,44,6,1.76,0.32
AquaMarine Services,0,363,25,44,6,1.76,0.32
AquaPure,4,363,25,44,6,1.76,0.32
PurplePeak Finances,0,363,25,44,6,1.76,0.32
HydroGenics,0,363,25,44,6,1.76,0.32
Health 1st,0,110,25,240,6,9.6,0.32
HealthFirst Medical,83,110,25,240,6,9.6,0.32
Green Solutions Ltd,0,130,25,90,6,3.6,0.32
TechLand Solutons,0,130,25,90,6,3.6,0.32
TechLand Systems,0,130,25,90,6,3.6,0.32
SmartTech Solutions,0,130,25,90,6,3.6,0.32
TechSavvy Solutons,0,130,25,90,6,3.6,0.32
FirstAid Solutions,0,110,25,240,6,9.6,0.32
Solar Solutions,4,197,25,113,6,4.52,0.32
Vitality Clinic,0,110,25,240,6,9.6,0.32
Solar Innovations Inc,0,197,25,113,6,4.52,0.32
HealthFirst Medical Center,27,110,25,240,6,9.6,0.32
MediBuild Health,0,110,25,240,6,9.6,0.32
Green Energy Solutions Ltd,7,196,25,123,6,4.92,0.32
AquaPure Solutions,0,363,25,44,6,1.76,0.32
AquaPure Water,11,363,25,44,6,1.76,0.32
CyanSea Fisheries,0,363,25,44,6,1.76,0.32
CopperCrest Mining,0,363,25,44,6,1.76,0.32
HealthFirst Corp,0,110,25,240,6,9.6,0.32
MediCore,0,110,25,240,6,9.6,0.32
GreenEnergy Solutons,0,196,25,123,6,4.92,0.32
Sunrise Energy,0,196,25,123,6,4.92,0.32
Sunrise Energy Co,0,196,25,123,6,4.92,0.32
Solar Innovations Ltd,0,197,25,113,6,4.52,0.32
AquaPure Systems,0,363,25,44,6,1.76,0.32
Solar Innovations,0,197,25,113,6,4.52,0.32
SolarHarvest,0,197,25,113,6,4.52,0.32
SolarFlare Technologies,0,197,25,113,6,4.52,0.32
Solaris Energy,12,197,25,113,6,4.52,0.32
GreenEnergy Solutions,20,197,25,113,6,4.52,0.32
SolarFlare Energy,0,197,25,113,6,4.52,0.32
Green Energy Solutons,0,196,25,123,6,4.92,0.32
Helios Solutions,0,197,25,113,6,4.52,0.32
Blue Sky Energy,0,196,25,123,6,4.92,0.32
Green Energy Ltd,0,196,25,123,6,4.92,0.32
GreenPower Solutons,0,196,25,123,6,4.92,0.32
Healthy Harvest Foods,0,110,25,240,6,9.6,0.32
Bright Future Academy,0,305,21,24,5,1.14,0.31
HarvestTech,0,282,21,61,5,2.9,0.31
Bright Minds Academy,0,305,21,24,5,1.14,0.31
Bright Minds Institute,0,305,21,24,5,1.14,0.31
Future Learning Centers,0,305,21,24,5,1.14,0.31
Riverway Solutions,4,282,21,61,5,2.9,0.31
Buildland Ventures,0,282,21,61,5,2.9,0.31
Bright Future Schoolz,0,305,21,24,5,1.14,0.31
Green Pastures Co,0,282,21,61,5,2.9,0.31
Future Bright Academies,0,305,21,24,5,1.14,0.31
Constructive Innovations,0,282,21,61,5,2.9,0.31
Care Partners,0,282,21,61,5,2.9,0.31
Bright Future Learning,0,305,21,24,5,1.14,0.31
Bright Future Schools,0,305,21,24,5,1.14,0.31
Speed Motors,0,184,17,80,4,4.71,0.31
BrightFuture Institute,1,305,21,24,5,1.14,0.31
AutoDrive Inc,9,184,17,80,4,4.71,0.31
Auto Advance,0,184,17,80,4,4.71,0.31
Speedy Motors,0,184,17,80,4,4.71,0.31
Speedster Motors,0,184,17,80,4,4.71,0.31
DriveTech Autos,0,184,17,80,4,4.71,0.31
Transport Solutions LLC,0,184,17,80,4,4.71,0.31
HydroPower Inc,22,282,21,61,5,2.9,0.31
AutoMakers,0,184,17,80,4,4.71,0.31
TransportPro,0,184,17,80,4,4.71,0.31
Buildland Ventures Inc,0,282,21,61,5,2.9,0.31
Bright Horizons Academy,1,305,21,24,5,1.14,0.31
Future Brite Academies,0,305,21,24,5,1.14,0.31
DriveTech Solutions,0,184,17,80,4,4.71,0.31
TravelQuest Adventurez,0,344,13,18,3,1.38,0.3
Quest Travel Services,0,344,13,18,3,1.38,0.3
BioHealth,0,97,13,27,3,2.08,0.3
Wellness Innovations,0,97,13,27,3,2.08,0.3
EcoDrive Ventures,0,188,13,59,3,4.54,0.3
Quest Adventures,0,344,13,18,3,1.38,0.3
TravelQuest Adventures,8,344,13,18,3,1.38,0.3
Explorers Heaven,0,344,13,18,3,1.38,0.3
Quest Ventures,0,344,13,18,3,1.38,0.3
Medical Care Ltd,0,344,13,18,3,1.38,0.3
Explorers Haven,0,344,13,18,3,1.38,0.3
EcoLife,0,129,13,29,3,2.23,0.3
TravelQuest Agency,4,344,13,18,3,1.38,0.3
LearnSmart Education,0,290,13,9,3,0.69,0.3
Explorers Retreat,0,344,13,18,3,1.38,0.3
Innovatech Labs,0,129,13,29,3,2.23,0.3
Innovator Labs,0,129,13,29,3,2.23,0.3
TechSavvy Innov8tions,0,129,13,29,3,2.23,0.3
Auto Drive Plus,0,177,13,62,3,4.77,0.3
Drive Auto,0,177,13,62,3,4.77,0.3
Auto Driv,0,177,13,62,3,4.77,0.3
AutoDriv,0,177,13,62,3,4.77,0.3
Auto Drive,0,177,13,62,3,4.77,0.3
Fresh Foods Co,5,177,13,62,3,4.77,0.3
Fresh Foodz Co,0,177,13,62,3,4.77,0.3
LearnSmart Inc,0,290,13,9,3,0.69,0.3
SmartLearn,0,290,13,9,3,0.69,0.3
LearnSmart Academy,0,290,13,9,3,0.69,0.3
SmartLearn Corp,0,290,13,9,3,0.69,0.3
Gizmo Innovations,0,129,13,29,3,2.23,0.3
TechGear Enterprises,0,129,13,29,3,2.23,0.3
RealEstatePro,3,129,13,29,3,2.23,0.3
AutoDrive Corp,0,188,13,59,3,4.54,0.3
EcoDrive Logistics,0,188,13,59,3,4.54,0.3
EcoDrive Services,0,188,13,59,3,4.54,0.3
GreenDrive Motors,9,188,13,59,3,4.54,0.3
EcoDrive Parts,0,188,13,59,3,4.54,0.3
EcoDrive Innovations,0,188,13,59,3,4.54,0.3
EcoDrv Motors,0,188,13,59,3,4.54,0.3
Healthcare Pioneers,5,97,13,27,3,2.08,0.3
LearnSmart,2,290,13,9,3,0.69,0.3
Bio Health Labs,0,97,13,27,3,2.08,0.3
Wellness Innovators,0,97,13,27,3,2.08,0.3
Wellness Innovations Inc,0,97,13,27,3,2.08,0.3
MediCare Services,0,97,13,27,3,2.08,0.3
EduSmart Tech,4,290,13,9,3,0.69,0.3
LearnSmart Institute,0,290,13,9,3,0.69,0.3
Health First Ltd,0,112,18,179,4,9.94,0.29
Careful Health Services,0,112,18,179,4,9.94,0.29
Taylor Construction Co,0,277,31,206,7,6.65,0.29
BuildSmart Inc,13,277,31,206,7,6.65,0.29
Build & Construct,0,277,31,206,7,6.65,0.29
Health Heroes,0,112,18,179,4,9.94,0.29
Solar Solutions Inc,0,194,45,167,10,3.71,0.29
Health First,79,112,18,179,4,9.94,0.29
Renewable Resources Ltd,0,194,45,167,10,3.71,0.29
GreenFuture Ltd,0,194,45,167,10,3.71,0.29
PetCare Vets,0,194,45,167,10,3.71,0.29
Green Growth,0,194,45,167,10,3.71,0.29
Techno Gadgets,0,135,45,172,10,3.82,0.29
Future Tech Enterprises,0,135,45,172,10,3.82,0.29
Digital Solutions Corp,10,135,45,172,10,3.82,0.29
Smart Home Solutions,0,135,45,172,10,3.82,0.29
Innovative Solutions Inc,0,135,45,172,10,3.82,0.29
Digital Solutons Corp,0,135,45,172,10,3.82,0.29
Tech Innovations Ltd,0,135,45,172,10,3.82,0.29
Tech Pioneers LLC,0,135,45,172,10,3.82,0.29
Tech Savvy Solutions,0,135,45,172,10,3.82,0.29
Tech Innovators Labs,7,139,18,194,4,10.78,0.29
TechCorp Innovations,0,139,18,194,4,10.78,0.29
TechCorp,0,139,18,194,4,10.78,0.29
TechnoFarm,0,139,18,194,4,10.78,0.29
TechnoHarvest,0,139,18,194,4,10.78,0.29
Green Earth Solutions,0,194,45,167,10,3.71,0.29
Green Energy Partners,0,194,45,167,10,3.71,0.29
Green Energy Co,18,194,45,167,10,3.71,0.29
UrbanGreen Landscaping,1,194,45,167,10,3.71,0.29
Healthy Foods Inc,0,112,18,179,4,9.94,0.29
Green Growers,0,194,45,167,10,3.71,0.29
HealthGuard Services,0,112,18,179,4,9.94,0.29
Healthy Foods Co,0,112,18,179,4,9.94,0.29
MediGroup,0,112,18,179,4,9.94,0.29
BuildIt Construktion,0,265,18,299,4,16.61,0.29
ConstructIt Builders,0,265,18,299,4,16.61,0.29
Buildland Construction Co,0,265,18,299,4,16.61,0.29
BuildIt Partners,0,265,18,299,4,16.61,0.29
EcoLand Harvesters,0,277,31,206,7,6.65,0.29
Green Construction Co,0,265,18,299,4,16.61,0.29
GreenBuild Construction,0,265,18,299,4,16.61,0.29
BuildIt Innovations,0,265,18,299,4,16.61,0.29
BuildIt Construction,208,265,18,299,4,16.61,0.29
UrbanBuild Projects Ltd,64,277,31,206,7,6.65,0.29
Constructive Solutons,0,277,31,206,7,6.65,0.29
BuildTech Solutions,0,277,31,206,7,6.65,0.29
Taylor & Sons Construction,0,277,31,206,7,6.65,0.29
Skyline Constructors,0,277,31,206,7,6.65,0.29
Green Energy Solutions,67,194,45,167,10,3.71,0.29
Green Earth,1,194,45,167,10,3.71,0.29
Techno Ventures,0,135,45,172,10,3.82,0.29
BuildTech Solutons,0,277,31,206,7,6.65,0.29
Greenland Agriculture,0,92,9,11,2,1.22,0.29
Cyan Construction Co,0,378,9,42,2,4.67,0.29
TravelWurld,0,334,9,21,2,2.33,0.29
TravelNest,0,334,9,21,2,2.33,0.29
HarvestTime Farms,6,92,9,11,2,1.22,0.29
TravelNow,0,334,9,21,2,2.33,0.29
Aqua Wave Ltd,1,373,9,10,2,1.11,0.29
HarvestGold Farms,0,92,9,11,2,1.22,0.29
SmartBuild,1,251,18,66,4,3.67,0.29
BlueWave Energy,0,378,9,42,2,4.67,0.29
BlueWave Industries,6,378,9,42,2,4.67,0.29
Travel Experts,8,334,9,21,2,2.33,0.29
BlueWave Technologies,0,378,9,42,2,4.67,0.29
Skyland Training,36,378,9,42,2,4.67,0.29
BlueWave Services,0,378,9,42,2,4.67,0.29
Sea Green Mfg,0,373,9,10,2,1.11,0.29
Speed Mechanics,0,373,9,10,2,1.11,0.29
Seaside Green Tech,0,373,9,10,2,1.11,0.29
