selections,protected_count
city:Mountainview;period:2023-H1;product_code:H,11
city:Rivertown;delivery_issue:True;period:2023-H1;product_code:F,11
delivery_issue:True;period:2023-H2;price_issue:True;product_code:D,11
city:Forestville;period:2023-H1;product_code:B,11
age_range:(40-50];city:Forestville;description_issue:True,11
age_range:(30-40];period:2023-H1;product_code:E;service_issue:True,11
city:Meadowville;description_issue:True;product_code:G,11
period:2020-H1;product_code:G;quality_issue:True,11
city:Rivertown;delivery_issue:True;product_code:D,11
city:Greenfield;price_issue:True;quality_issue:True,11
city:Greenfield;delivery_issue:True;period:2023-H2,11
age_range:(20-30];period:2023-H1;product_code:A;quality_issue:True,11
age_range:(20-30];city:Rivertown;product_code:C,11
city:Rivertown;product_code:C,11
description_issue:True;period:2023-H2;product_code:C;quality_issue:True,11
age_range:(20-30];period:2023-H2;product_code:D;quality_issue:True,11
age_range:(30-40];city:Hilltop;delivery_issue:True;product_code:D,11
description_issue:True;period:2023-H2;price_issue:True;product_code:D,11
age_range:(20-30];city:Brookside;delivery_issue:True;period:2023-H1,11
city:Greenfield;product_code:A,11
city:Mountainview;product_code:H,11
city:Hilltop;price_issue:True;product_code:E,11
age_range:(40-50];city:Brookside;period:2023-H1,11
age_range:(30-40];city:Springfield;product_code:A;quality_issue:True,11
age_range:(20-30];city:Brookside;description_issue:True;period:2023-H2,11
age_range:(50-60];period:2023-H1;product_code:F,11
period:2020-H1;quality_issue:True,11
age_range:(30-40];city:Lakeside;description_issue:True;period:2023-H1,11
age_range:(30-40];description_issue:True;product_code:C;quality_issue:True,11
city:Rivertown;delivery_issue:True;product_code:F,11
age_range:(20-30];period:2020-H2;price_issue:True,11
age_range:(30-40];city:Hilltown;product_code:E,11
age_range:(50-60];delivery_issue:True;description_issue:True,11
price_issue:True;quality_issue:True;service_issue:True,11
age_range:(30-40];description_issue:True;product_code:E;service_issue:True,11
age_range:(20-30];city:Brookside;description_issue:True;product_code:F,11
age_range:(40-50];city:Brookside;product_code:D,11
city:Greenfield;period:2023-H2;product_code:A,11
age_range:(30-40];city:Valleyview;period:2023-H1,11
city:Mountainview;period:2023-H2;product_code:H,11
age_range:(30-40];city:Brookside;product_code:B;service_issue:True,11
city:Greenfield;product_code:C,11
age_range:(40-50];period:2023-H1;price_issue:True;product_code:B,11
city:Valleytown;price_issue:True,11
age_range:(20-30];city:Hilltown;product_code:E,11
city:Riverbend;quality_issue:True;service_issue:True,11
description_issue:True;period:2022-H1;product_code:E,11
delivery_issue:True;description_issue:True;period:2023-H1;product_code:E,11
age_range:(30-40];city:Hilltop;description_issue:True;product_code:D,11
age_range:(20-30];description_issue:True;period:2023-H2;product_code:H,11
city:Hilltown;product_code:E;quality_issue:True,11
age_range:(50-60];description_issue:True;service_issue:True,10
age_range:(30-40];city:Valleyview;period:2023-H2,10
age_range:(40-50];price_issue:True;product_code:D;quality_issue:True,10
age_range:(20-30];period:2021-H2;product_code:C,10
age_range:(40-50];city:Riverside;product_code:A,10
age_range:(40-50];period:2023-H1;product_code:H,10
city:Springfield;period:2022-H1;product_code:C,10
age_range:(20-30];city:Riverside;price_issue:True;product_code:A,10
age_range:(20-30];period:2023-H1;product_code:F;quality_issue:True,10
age_range:(20-30];city:Meadowland;period:2022-H1,10
city:Rivertown;period:2023-H1;product_code:F;service_issue:True,10
age_range:(40-50];city:Riverside;service_issue:True,10
age_range:(30-40];description_issue:True;period:2020-H1,10
age_range:(30-40];delivery_issue:True;period:2020-H2,10
city:Riverbend;period:2020-H2,10
age_range:(30-40];city:Hilltown;delivery_issue:True,10
city:Rivertown;period:2021-H1;service_issue:True,10
age_range:(40-50];description_issue:True;period:2023-H2;quality_issue:True,10
age_range:(30-40];city:Forestville;product_code:C,10
city:Lakeside;period:2022-H2;product_code:H,10
age_range:(40-50];period:2021-H2;service_issue:True,10
city:Riverbend;period:2022-H1;price_issue:True,10
age_range:(30-40];city:Hilltown;product_code:H,10
city:Riverside;product_code:C;service_issue:True,10
city:Greenfield;period:2023-H2;product_code:E,10
city:Valleyview;period:2020-H2,10
age_range:(40-50];period:2022-H2;price_issue:True;quality_issue:True,10
age_range:(20-30];city:Lakeside;product_code:G,10
city:Forestville;description_issue:True;period:2023-H1,10
description_issue:True;period:2023-H1;product_code:E;service_issue:True,10
city:Hilltown;product_code:H,10
delivery_issue:True;period:2022-H1;quality_issue:True,10
city:Meadowville;delivery_issue:True;product_code:H,10
city:Valleyview;period:2022-H1;product_code:F,10
age_range:(20-30];period:2023-H1;product_code:E;quality_issue:True,10
age_range:(20-30];city:Meadowland;period:2020-H2;service_issue:True,10
city:Lakeside;description_issue:True;product_code:C;quality_issue:True,10
age_range:(40-50];period:2021-H1;product_code:B,10
age_range:(40-50];city:Hilltop;product_code:G,10
city:Seaside;description_issue:True;product_code:E,10
age_range:(30-40];delivery_issue:True;period:2023-H1;product_code:E,10
age_range:(30-40];city:Lakeside;period:2023-H1;service_issue:True,10
city:Meadowville;description_issue:True;period:2020-H2;product_code:E,10
city:Greenfield;period:2020-H2,10
city:Rivertown;period:2021-H1;product_code:C,10
age_range:(30-40];city:Seaside;description_issue:True;service_issue:True,10
age_range:(30-40];delivery_issue:True;period:2021-H2;service_issue:True,10
age_range:(30-40];city:Forestville;product_code:C;service_issue:True,10
period:2023-H2;product_code:F;quality_issue:True,10
city:Rivertown;period:2022-H2;product_code:A,10
delivery_issue:True;period:2024-H1;service_issue:True,10
city:Meadowville;product_code:A,10
age_range:(20-30];price_issue:True;quality_issue:True;service_issue:True,10
city:Riverbend;period:2022-H1;product_code:A,10
age_range:(40-50];city:Mountainview;period:2023-H2;price_issue:True,10
age_range:(20-30];city:Lakeside;delivery_issue:True;product_code:C,10
age_range:(40-50];description_issue:True;period:2023-H1;service_issue:True,10
city:Lakeside;period:2023-H2;product_code:D;quality_issue:True,10
city:Hilltop;product_code:F,10
age_range:(40-50];city:Riverside;period:2023-H2;service_issue:True,10
age_range:(30-40];period:2022-H2;service_issue:True,10
period:2022-H2;product_code:D;quality_issue:True,10
age_range:(40-50];city:Riverside;product_code:C;service_issue:True,10
period:2024-H1;product_code:D,10
age_range:(30-40];city:Forestville;period:2023-H1;service_issue:True,10
age_range:(20-30];city:Lakeside;description_issue:True;product_code:A,10
age_range:(40-50];city:Hilltop;description_issue:True;product_code:D,10
period:2023-H1;product_code:A;quality_issue:True;service_issue:True,10
city:Hilltown;period:2023-H2;product_code:D,10
period:2022-H1;product_code:B,10
age_range:(30-40];city:Lakeside;period:2023-H2;product_code:C,10
city:Seaside;price_issue:True;product_code:H,10
age_range:(30-40];period:2022-H2;price_issue:True;service_issue:True,10
age_range:(30-40];city:Forestville;period:2023-H1,10
age_range:(40-50];city:Meadowville;service_issue:True,10
age_range:(40-50];delivery_issue:True;description_issue:True;product_code:F,10
age_range:(30-40];delivery_issue:True;period:2021-H2;product_code:B,10
city:Valleytown;product_code:G,10
age_range:(20-30];city:Brookside;period:2023-H1;product_code:B,10
age_range:(40-50];city:Hilltop;description_issue:True;period:2023-H2,10
age_range:(30-40];city:Seaside;delivery_issue:True,10
age_range:(20-30];city:Brookside;delivery_issue:True;product_code:F,10
age_range:(20-30];city:Forestville;description_issue:True,10
age_range:(50-60];period:2023-H1;quality_issue:True,10
city:Lakeside;description_issue:True;price_issue:True;product_code:A,10
city:Valleytown;delivery_issue:True;price_issue:True,10
age_range:(40-50];period:2023-H1;price_issue:True;product_code:G,10
age_range:(50-60];city:Lakeside;period:2021-H2,10
city:Meadowville;period:2023-H2;product_code:E,10
delivery_issue:True;period:2021-H1;quality_issue:True,10
city:Hilltown;delivery_issue:True;product_code:B,10
age_range:(20-30];city:Lakeside;period:2023-H2;service_issue:True,10
age_range:(50-60];period:2023-H1;product_code:G;quality_issue:True,10
city:Mountainview;delivery_issue:True;product_code:B,10
age_range:(20-30];period:2023-H1;product_code:G;service_issue:True,10
delivery_issue:True;description_issue:True;product_code:D;service_issue:True,10
age_range:(30-40];city:Forestville;period:2023-H1;price_issue:True,10
age_range:(20-30];city:Mountainview;quality_issue:True,10
city:Forestville;description_issue:True;period:2023-H1;product_code:H,10
age_range:(50-60];city:Lakeside;period:2021-H2;service_issue:True,10
age_range:(30-40];city:Forestville;quality_issue:True,10
age_range:(40-50];product_code:F;quality_issue:True;service_issue:True,10
age_range:(40-50];city:Valleyview;product_code:F,10
city:Meadowville;product_code:E;quality_issue:True,10
age_range:(40-50];period:2023-H1;product_code:F;service_issue:True,10
delivery_issue:True;period:2023-H1;quality_issue:True;service_issue:True,10
age_range:(50-60];delivery_issue:True;description_issue:True;period:2023-H1,10
age_range:(20-30];period:2021-H2;product_code:C;service_issue:True,10
age_range:(40-50];city:Springfield;period:2023-H1;price_issue:True,10
age_range:(40-50];period:2022-H2;price_issue:True,10
city:Meadowville;description_issue:True;quality_issue:True,10
age_range:(30-40];city:Forestville;period:2023-H1;product_code:C,10
age_range:(40-50];description_issue:True;product_code:G,10
city:Hilltown;product_code:B,10
age_range:(40-50];city:Riverside;product_code:B,10
age_range:(20-30];city:Greenfield;period:2023-H2;service_issue:True,10
city:Greenfield;period:2022-H2,10
age_range:(40-50];delivery_issue:True;period:2023-H1;service_issue:True,10
age_range:(30-40];period:2021-H2;product_code:B,10
city:Lakeside;product_code:D;quality_issue:True,10
age_range:(20-30];city:Hilltop;product_code:D,10
period:2023-H2;price_issue:True;product_code:F;service_issue:True,10
city:Riverside;description_issue:True;period:2023-H1;quality_issue:True,10
age_range:(20-30];description_issue:True;period:2023-H2;service_issue:True,10
age_range:(20-30];city:Valleyview;period:2020-H2,10
age_range:(20-30];period:2021-H2;product_code:B,10
delivery_issue:True;description_issue:True;period:2023-H1;price_issue:True,10
age_range:(20-30];city:Mountainview;period:2023-H2,10
period:2020-H1;product_code:H,10
city:Seaside;period:2023-H1;product_code:H,10
city:Seaside;period:2023-H2;price_issue:True,10
city:Springfield;period:2021-H1;product_code:C,10
age_range:(40-50];city:Lakeside;delivery_issue:True;period:2023-H1,10
city:Riverbend;period:2022-H1,10
city:Meadowville;delivery_issue:True;product_code:E,10
price_issue:True;product_code:G;quality_issue:True,10
age_range:(20-30];city:Meadowland;service_issue:True,10
age_range:(30-40];delivery_issue:True;period:2023-H2;product_code:B,10
age_range:(20-30];period:2023-H1;product_code:C;quality_issue:True,10
age_range:(40-50];delivery_issue:True;product_code:C;service_issue:True,10
age_range:(20-30];delivery_issue:True;period:2020-H2,10
city:Mountainview;product_code:B,10
city:Mountainview;period:2024-H1;product_code:D,10
age_range:(20-30];city:Forestville;product_code:B,10
age_range:(40-50];city:Lakeside;period:2023-H2;service_issue:True,10
age_range:(40-50];city:Mountainview;period:2023-H1;price_issue:True,10
city:Riverside;period:2021-H2;product_code:B,10
period:2022-H1;product_code:B;quality_issue:True,10
city:Meadowville;product_code:H,10
age_range:(40-50];city:Riverside;period:2023-H1;product_code:B,10
age_range:(50-60];city:Hilltop;delivery_issue:True;product_code:D,10
period:2022-H1;product_code:D;service_issue:True,10
city:Riverside;description_issue:True;product_code:E,10
age_range:(50-60];city:Hilltop;product_code:H;service_issue:True,10
age_range:(30-40];city:Rivertown;period:2023-H2;quality_issue:True,10
age_range:(30-40];city:Riverside;period:2023-H2;service_issue:True,10
age_range:(20-30];delivery_issue:True;price_issue:True;product_code:F,10
city:Riverside;delivery_issue:True;product_code:B,10
age_range:(30-40];period:2023-H1;product_code:F;quality_issue:True,10
city:Rivertown;period:2021-H1,10
age_range:(30-40];city:Seaside;delivery_issue:True;period:2023-H1,10
age_range:(50-60];product_code:B,10
age_range:(40-50];period:2021-H2;product_code:C;service_issue:True,10
city:Hilltown;period:2023-H1;service_issue:True,10
age_range:(20-30];delivery_issue:True;description_issue:True;price_issue:True,10
city:Hilltown;product_code:H;quality_issue:True,10
age_range:(30-40];city:Hilltop;product_code:D;service_issue:True,10
city:Hilltown;period:2023-H2;product_code:H,10
city:Hilltown;period:2023-H1;product_code:B,10
city:Hilltop;period:2022-H2;product_code:B,10
period:2024-H1;price_issue:True;product_code:D,10
delivery_issue:True;period:2023-H2;product_code:D;service_issue:True,10
period:2021-H1;product_code:C;service_issue:True,10
delivery_issue:True;period:2020-H1,10
period:2022-H2;price_issue:True;product_code:D,10
delivery_issue:True;period:2023-H1;price_issue:True;product_code:A,10
city:Valleyview;period:2022-H2;quality_issue:True,10
age_range:(50-60];city:Lakeside;period:2021-H2;product_code:C,10
age_range:(50-60];city:Greenfield;quality_issue:True,10
city:Lakeside;period:2023-H2;product_code:C;quality_issue:True,10
age_range:(40-50];delivery_issue:True;period:2023-H1;price_issue:True,10
city:Riverside;description_issue:True;period:2021-H2,10
age_range:(40-50];delivery_issue:True;period:2023-H2;product_code:H,10
age_range:(30-40];city:Rivertown;product_code:C,10
age_range:(50-60];delivery_issue:True;period:2023-H1;quality_issue:True,10
age_range:(20-30];period:2023-H2;product_code:G;service_issue:True,10
age_range:(40-50];city:Hilltop;product_code:F,10
city:Greenfield;delivery_issue:True;product_code:C,10
age_range:(20-30];period:2020-H2;price_issue:True;product_code:G,10
city:Valleytown;product_code:G;service_issue:True,10
age_range:(50-60];period:2023-H2;product_code:D;quality_issue:True,10
age_range:(20-30];city:Meadowland;quality_issue:True,10
age_range:(40-50];city:Rivertown;period:2023-H2;quality_issue:True,10
age_range:(30-40];city:Hilltown;delivery_issue:True;period:2023-H1,10
age_range:(40-50];city:Riverbend;period:2022-H1,10
delivery_issue:True;period:2024-H1,10
age_range:(20-30];city:Brookside;product_code:B,10
age_range:(40-50];city:Meadowville;period:2023-H2;service_issue:True,10
period:2020-H2;product_code:G;quality_issue:True,10
city:Seaside;delivery_issue:True;price_issue:True,10
city:Lakeside;period:2023-H1;product_code:H,10
age_range:(30-40];period:2020-H1;product_code:H,10
city:Brookside;product_code:F;quality_issue:True,10
city:Valleyview;description_issue:True;period:2020-H2,10
city:Rivertown;period:2021-H1;product_code:B,10
city:Springfield;period:2023-H2;quality_issue:True;service_issue:True,10
delivery_issue:True;period:2020-H1;product_code:H,10
city:Rivertown;period:2021-H1;price_issue:True,10
city:Hilltop;period:2022-H2;product_code:E,10
age_range:(40-50];description_issue:True;period:2023-H1;product_code:F,10
age_range:(20-30];city:Hilltop;delivery_issue:True;product_code:D,10
city:Springfield;description_issue:True;service_issue:True,10
city:Brookside;price_issue:True;product_code:A,10
age_range:(20-30];description_issue:True;product_code:F;service_issue:True,10
age_range:(50-60];period:2023-H2;product_code:F,10
age_range:(40-50];city:Mountainview;product_code:C;service_issue:True,10
age_range:(30-40];city:Lakeside;delivery_issue:True;quality_issue:True,10
city:Riverbend;period:2022-H1;service_issue:True,10
age_range:(30-40];city:Hilltop;period:2023-H2;quality_issue:True,10
city:Hilltop;description_issue:True;period:2023-H1,10
city:Riverside;period:2021-H2,10
city:Brookside;product_code:G;quality_issue:True,10
city:Hilltown;period:2023-H2;product_code:D;service_issue:True,10
age_range:(30-40];delivery_issue:True;price_issue:True;product_code:H,10
age_range:(20-30];description_issue:True;price_issue:True;product_code:C,10
city:Meadowville;price_issue:True;product_code:H,10
city:Forestville;delivery_issue:True;price_issue:True,10
city:Meadowville;product_code:H;service_issue:True,10
age_range:(40-50];period:2022-H2;product_code:E,10
city:Springfield;delivery_issue:True;quality_issue:True;service_issue:True,10
period:2021-H1;product_code:G,10
age_range:(50-60];period:2021-H2;product_code:C;service_issue:True,10
age_range:(30-40];city:Mountainview;description_issue:True,10
age_range:(30-40];city:Rivertown;period:2023-H1;product_code:G,9
period:2021-H1;product_code:E,9
description_issue:True;period:2023-H2;product_code:D;service_issue:True,9
city:Riverside;delivery_issue:True;service_issue:True,9
delivery_issue:True;price_issue:True;product_code:C,9
city:Lakeside;period:2023-H1;price_issue:True;product_code:C,9
age_range:(30-40];city:Meadowville;period:2023-H2;product_code:G,9
city:Lakeside;description_issue:True;product_code:G,9
delivery_issue:True;description_issue:True;price_issue:True;product_code:C,9
city:Hilltop;description_issue:True;period:2023-H2;price_issue:True,9
age_range:(40-50];delivery_issue:True;price_issue:True;product_code:F,9
age_range:(20-30];product_code:A;quality_issue:True;service_issue:True,9
city:Lakeside;description_issue:True;period:2023-H1;product_code:C,9
city:Greenfield;period:2023-H1;price_issue:True,9
age_range:(40-50];delivery_issue:True;description_issue:True;product_code:E,9
age_range:(50-60];price_issue:True;product_code:B,9
city:Springfield;delivery_issue:True;period:2023-H1;product_code:A,9
age_range:(40-50];city:Riverside;delivery_issue:True;service_issue:True,9
age_range:(20-30];city:Hilltown;product_code:D,9
age_range:(30-40];period:2022-H1;price_issue:True;product_code:G,9
age_range:(30-40];delivery_issue:True;product_code:F;service_issue:True,9
city:Seaside;description_issue:True;period:2023-H1;product_code:G,9
city:Hilltop;description_issue:True;price_issue:True,9
age_range:(40-50];price_issue:True;product_code:H;service_issue:True,9
age_range:(50-60];quality_issue:True;service_issue:True,9
age_range:(40-50];city:Greenfield;period:2023-H2;product_code:D,9
age_range:(30-40];city:Hilltop;period:2023-H2;price_issue:True,9
age_range:(40-50];delivery_issue:True;product_code:B;quality_issue:True,9
age_range:(40-50];description_issue:True;period:2023-H1;price_issue:True,9
age_range:(30-40];city:Springfield;period:2021-H1,9
description_issue:True;period:2023-H2;price_issue:True;service_issue:True,9
city:Brookside;delivery_issue:True;product_code:A,9
city:Riverbend;description_issue:True,9
age_range:(20-30];city:Meadowville;product_code:B,9
period:2022-H1;price_issue:True;product_code:H,9
age_range:(40-50];city:Rivertown;delivery_issue:True;period:2023-H1,9
delivery_issue:True;product_code:A;service_issue:True,9
city:Greenfield;product_code:D;quality_issue:True,9
age_range:(30-40];city:Riverside;description_issue:True;product_code:A,9
city:Lakeside;delivery_issue:True;period:2023-H2;product_code:A,9
age_range:(20-30];city:Lakeside;period:2023-H2;product_code:A,9
age_range:(40-50];period:2023-H2;price_issue:True;quality_issue:True,9
city:Lakeside;period:2023-H1;product_code:D;service_issue:True,9
city:Lakeside;price_issue:True;product_code:G,9
city:Forestville;period:2022-H1;price_issue:True,9
city:Seaside;description_issue:True;period:2022-H2,9
age_range:(20-30];city:Springfield;delivery_issue:True;period:2023-H1,9
city:Springfield;period:2022-H1;product_code:A,9
age_range:(30-40];period:2023-H1;product_code:D,9
city:Seaside;delivery_issue:True;period:2023-H2;service_issue:True,9
age_range:(30-40];price_issue:True;product_code:G;quality_issue:True,9
period:2022-H1;product_code:A;service_issue:True,9
city:Riverside;price_issue:True;product_code:E,9
city:Riverbend;delivery_issue:True;period:2023-H1,9
period:2021-H2;product_code:E,9
period:2023-H1;price_issue:True;product_code:B;quality_issue:True,9
description_issue:True;period:2021-H1,9
age_range:(20-30];delivery_issue:True;period:2021-H2,9
age_range:(30-40];city:Mountainview;description_issue:True;service_issue:True,9
city:Springfield;period:2020-H2;service_issue:True,9
city:Seaside;description_issue:True;product_code:G,9
delivery_issue:True;period:2023-H1;product_code:B;service_issue:True,9
city:Springfield;period:2023-H1;product_code:B;quality_issue:True,9
city:Hilltop;description_issue:True;price_issue:True;product_code:D,9
age_range:(40-50];city:Rivertown;period:2022-H2;quality_issue:True,9
age_range:(30-40];city:Springfield;period:2023-H2;price_issue:True,9
age_range:(30-40];city:Lakeside;product_code:A;service_issue:True,9
city:Riverbend;delivery_issue:True,9
age_range:(40-50];city:Brookside;delivery_issue:True,9
age_range:(40-50];description_issue:True;period:2021-H1,9
city:Brookside;product_code:H,9
age_range:(30-40];city:Lakeside;price_issue:True;product_code:G,9
age_range:(40-50];city:Rivertown;delivery_issue:True,9
city:Valleyview;quality_issue:True;service_issue:True,9
city:Riverside;delivery_issue:True;product_code:F;service_issue:True,9
delivery_issue:True;period:2022-H2;product_code:D,9
period:2023-H2;price_issue:True;product_code:G;service_issue:True,9
age_range:(50-60];period:2023-H2;price_issue:True;product_code:D,9
delivery_issue:True;period:2022-H2;product_code:B,9
age_range:(40-50];city:Hilltown;quality_issue:True,9
age_range:(30-40];city:Seaside;price_issue:True;service_issue:True,9
age_range:(30-40];city:Riverside;period:2023-H1;product_code:G,9
city:Hilltop;delivery_issue:True;product_code:F,9
age_range:(30-40];city:Mountainview;period:2023-H1;service_issue:True,9
city:Seaside;period:2023-H2;product_code:B,9
description_issue:True;period:2021-H1;product_code:E,9
city:Seaside;period:2023-H2;product_code:F,9
age_range:(30-40];city:Seaside;period:2022-H1,9
age_range:(50-60];price_issue:True;product_code:D,9
age_range:(20-30];city:Hilltown;product_code:D;service_issue:True,9
age_range:(50-60];product_code:G;quality_issue:True;service_issue:True,9
age_range:(30-40];city:Hilltop;product_code:C,9
city:Brookside;period:2023-H1;product_code:H,9
age_range:(40-50];city:Lakeside;period:2023-H2;quality_issue:True,9
city:Seaside;delivery_issue:True;period:2023-H1;product_code:E,9
age_range:(30-40];city:Seaside;description_issue:True;period:2023-H1,9
city:Seaside;price_issue:True;service_issue:True,9
age_range:(30-40];delivery_issue:True;price_issue:True;product_code:F,9
age_range:(50-60];product_code:H;quality_issue:True;service_issue:True,9
age_range:(40-50];city:Hilltown,9
city:Springfield;delivery_issue:True;description_issue:True;period:2023-H1,9
city:Brookside;delivery_issue:True;product_code:H,9
city:Brookside;description_issue:True;product_code:G,9
city:Springfield;description_issue:True;product_code:B,9
city:Mountainview;description_issue:True;period:2023-H2;price_issue:True,9
age_range:(40-50];city:Brookside;delivery_issue:True;period:2023-H1,9
age_range:(20-30];period:2023-H2;product_code:H;service_issue:True,9
age_range:(40-50];city:Hilltown;product_code:E,9
age_range:(40-50];city:Valleyview;delivery_issue:True,9
age_range:(30-40];city:Riverbend;delivery_issue:True,9
age_range:(50-60];city:Rivertown;product_code:D,9
delivery_issue:True;period:2023-H2;product_code:F;service_issue:True,9
age_range:(30-40];city:Hilltop;period:2023-H2;product_code:C,9
age_range:(40-50];city:Hilltop;product_code:C,9
delivery_issue:True;product_code:F;quality_issue:True;service_issue:True,9
age_range:(20-30];city:Valleytown;product_code:D,9
age_range:(30-40];city:Rivertown;price_issue:True;product_code:B,9
city:Seaside;period:2020-H1,9
age_range:(40-50];city:Rivertown;period:2023-H1;product_code:A,9
age_range:(20-30];city:Brookside;product_code:A,9
description_issue:True;price_issue:True;product_code:B,9
age_range:(40-50];period:2021-H1;product_code:B;quality_issue:True,9
city:Valleytown;product_code:D,9
age_range:(40-50];city:Rivertown;period:2023-H1;product_code:B,9
age_range:(20-30];city:Brookside;description_issue:True;product_code:A,9
age_range:(30-40];delivery_issue:True;period:2022-H1;product_code:G,9
age_range:(30-40];delivery_issue:True;price_issue:True;product_code:C,9
age_range:(30-40];description_issue:True;period:2021-H1,9
city:Forestville;product_code:C;quality_issue:True,9
age_range:(40-50];description_issue:True;period:2021-H2,9
city:Seaside;product_code:F;service_issue:True,9
city:Hilltop;delivery_issue:True;product_code:B,9
age_range:(40-50];city:Hilltown;product_code:B,9
city:Hilltop;description_issue:True;period:2023-H2;product_code:H,9
city:Seaside;product_code:F;quality_issue:True,9
city:Brookside;period:2023-H1;product_code:A,9
city:Rivertown;period:2022-H2;quality_issue:True,9
delivery_issue:True;period:2023-H2;price_issue:True;product_code:C,9
description_issue:True;period:2023-H2;product_code:H;quality_issue:True,9
age_range:(30-40];period:2023-H2;price_issue:True;product_code:E,9
age_range:(40-50];city:Riverside;price_issue:True;product_code:A,9
age_range:(40-50];period:2023-H2;product_code:F;quality_issue:True,9
city:Riverside;description_issue:True;product_code:C,9
age_range:(30-40];city:Greenfield;period:2023-H1;price_issue:True,9
delivery_issue:True;period:2021-H2;product_code:A,9
period:2022-H1;price_issue:True;product_code:F,9
city:Lakeside;period:2021-H2;product_code:E,9
city:Greenfield;period:2023-H1;product_code:A,9
city:Hilltown;period:2023-H1;product_code:C,9
age_range:(50-60];city:Rivertown,9
age_range:(50-60];city:Rivertown;quality_issue:True,9
city:Springfield;delivery_issue:True;description_issue:True;service_issue:True,9
age_range:(20-30];city:Hilltop;period:2022-H2,9
city:Valleyview;period:2023-H2;product_code:F,9
age_range:(20-30];city:Seaside;description_issue:True,9
age_range:(20-30];period:2022-H2;product_code:A,9
age_range:(40-50];description_issue:True;price_issue:True;product_code:E,9
delivery_issue:True;period:2023-H1;price_issue:True;product_code:C,9
age_range:(30-40];city:Valleyview;period:2023-H1;product_code:F,9
age_range:(40-50];city:Lakeside;period:2021-H2;service_issue:True,9
city:Hilltown;product_code:C,9
age_range:(40-50];city:Hilltown;period:2023-H1,9
city:Riverside;description_issue:True;period:2023-H1;product_code:G,9
city:Seaside;period:2022-H1;product_code:E,9
city:Riverside;delivery_issue:True;description_issue:True,9
age_range:(30-40];city:Hilltown;product_code:B,9
city:Rivertown;price_issue:True;service_issue:True,9
age_range:(30-40];period:2021-H2;product_code:E,9
age_range:(40-50];delivery_issue:True;description_issue:True;product_code:B,9
city:Rivertown;delivery_issue:True;period:2023-H1;service_issue:True,9
city:Seaside;product_code:F,9
city:Seaside;period:2023-H2;price_issue:True;product_code:H,9
city:Seaside;description_issue:True;product_code:G;service_issue:True,9
city:Riverside;period:2023-H1;product_code:G,9
age_range:(40-50];description_issue:True;price_issue:True;product_code:B,9
city:Meadowville;period:2023-H1;product_code:B,9
city:Springfield;product_code:C;quality_issue:True,9
description_issue:True;period:2021-H1;product_code:C,9
age_range:(50-60];city:Meadowville,9
age_range:(50-60];city:Rivertown;product_code:C,9
period:2024-H1;product_code:D;service_issue:True,9
city:Meadowville;period:2023-H2;product_code:G,9
age_range:(30-40];period:2022-H1;product_code:G;quality_issue:True,9
age_range:(20-30];description_issue:True;period:2023-H2;product_code:F,9
city:Seaside;description_issue:True;period:2020-H1,9
delivery_issue:True;product_code:B;service_issue:True,9
city:Greenfield;delivery_issue:True;product_code:H,9
city:Meadowland;period:2020-H2;product_code:F;service_issue:True,9
city:Riverbend;price_issue:True;product_code:A,9
city:Hilltop;description_issue:True;product_code:E,9
age_range:(30-40];city:Riverside;delivery_issue:True;description_issue:True,9
age_range:(30-40];delivery_issue:True;product_code:A;service_issue:True,9
delivery_issue:True;description_issue:True;period:2023-H2;product_code:C,9
city:Riverside;product_code:H;quality_issue:True,9
age_range:(40-50];period:2022-H1;product_code:G,9
city:Meadowland;period:2023-H2;product_code:F,9
age_range:(30-40];city:Lakeside;delivery_issue:True;product_code:A,9
city:Seaside;description_issue:True;period:2023-H1,9
age_range:(20-30];period:2023-H1;product_code:B;service_issue:True,9
city:Valleyview;period:2022-H2;service_issue:True,9
city:Springfield;delivery_issue:True;period:2021-H1,9
city:Meadowville;product_code:B,9
city:Rivertown;period:2022-H2;product_code:B;quality_issue:True,9
city:Riverbend;delivery_issue:True;period:2022-H1,9
city:Riverside;delivery_issue:True;product_code:F,9
city:Hilltown;period:2023-H2;product_code:F,9
age_range:(40-50];city:Greenfield;product_code:D,9
age_range:(40-50];city:Seaside;product_code:G,9
city:Riverside;product_code:C;quality_issue:True,9
city:Lakeside;delivery_issue:True;price_issue:True;product_code:A,9
period:2022-H2;product_code:E;quality_issue:True,9
city:Lakeside;delivery_issue:True;period:2023-H1;quality_issue:True,9
age_range:(30-40];city:Seaside;description_issue:True;quality_issue:True,9
city:Lakeside;price_issue:True;product_code:C;service_issue:True,9
city:Seaside;period:2022-H1,9
period:2022-H1;price_issue:True;product_code:A,9
city:Seaside;period:2020-H1;product_code:H,9
city:Lakeside;delivery_issue:True;period:2023-H2;product_code:B,9
city:Lakeside;delivery_issue:True;period:2023-H2;service_issue:True,9
age_range:(40-50];city:Riverside;delivery_issue:True;period:2023-H1,9
age_range:(30-40];description_issue:True;product_code:E;quality_issue:True,9
age_range:(30-40];city:Rivertown;price_issue:True;service_issue:True,9
age_range:(50-60];city:Meadowville;period:2023-H2,9
city:Rivertown;product_code:G;service_issue:True,9
age_range:(40-50];city:Rivertown;delivery_issue:True;product_code:A,8
